ano,codigo_orgao,orgao_orcamentario,co_funcao,funcao,projeto_de_lei,dotacao_inicial,dotacao_atual,empenhado,liquidado,pago
2018,55000,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",08,Assistência Social,86.43,86.96,88.73,88.67,87.99,85.89
2018,55000,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",09,Previdência Social,596.61,596.61,589.08,586.92,585.3,551.36
2018,55000,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",28,Encargos Especiais,15.97,15.97,18.64,18.42,18.02,17.99
2018,56000,Ministério das Cidades,04,Administração,0,0,0,0,0,0
2018,56000,Ministério das Cidades,09,Previdência Social,0,0,0,0,0,0
2018,56000,Ministério das Cidades,15,Urbanismo,2.03,4.32,4.45,4.39,1.59,1.52
2018,56000,Ministério das Cidades,16,Habitação,0.05,0.06,0.02,0.02,0.01,0.01
2018,56000,Ministério das Cidades,17,Saneamento,0.87,0.91,0.87,0.86,0.55,0.55
2018,56000,Ministério das Cidades,28,Encargos Especiais,6.27,4.96,5.01,4.89,4.76,4.76
2018,56000,Ministério das Cidades,99,Reserva de Contingência,0.9,0.9,0.89,0,0,0
2018,59000,Conselho Nacional do Ministério Público,03,Essencial à Justiça,0.09,0.09,0.09,0.08,0.08,0.08
2018,59000,Conselho Nacional do Ministério Público,09,Previdência Social,0,0,0,0,0,0
2018,60000,Gabinete da Vice-Presidência da República,04,Administração,0.01,0,0,0,0,0
2018,63000,Advocacia-Geral da União,03,Essencial à Justiça,0.92,0.85,0.91,0.9,0.74,0.73
2018,63000,Advocacia-Geral da União,04,Administração,2.19,2.19,2.36,2.35,2.32,2.15
2018,63000,Advocacia-Geral da União,09,Previdência Social,0.58,0.58,0.66,0.66,0.66,0.61
2018,63000,Advocacia-Geral da União,28,Encargos Especiais,0,0,0,0,0,0
2018,71000,Encargos Financeiros da União,04,Administração,0,0,0,0,0,0
2018,71000,Encargos Financeiros da União,28,Encargos Especiais,2.37,2.37,2.47,2.32,2.32,2.32
2018,71000,Encargos Financeiros da União,99,Reserva de Contingência,2.03,2.03,2.03,0,0,0
2018,71101,Recursos sob Supervisão do Ministério da Fazenda,28,Encargos Especiais,18.12,16.04,21.02,19.01,16.53,16.53
2018,71102,Recursos sob Supervisão do Ministério do Planejamento e Orçamento,04,Administração,0.28,0.28,0,0,0,0
2018,71102,Recursos sob Supervisão do Ministério do Planejamento e Orçamento,28,Encargos Especiais,3.81,3.53,2.24,2.04,1.53,1.53
2018,71102,Recursos sob Supervisão do Ministério do Planejamento e Orçamento,99,Reserva de Contingência,4.16,4.16,0.81,0,0,0
2018,71103,Encargos Financeiros da União,28,Encargos Especiais,18.08,18.08,20.01,16.92,16.76,16.76
2018,71104,Remuneração de Agentes Financeiros,28,Encargos Especiais,0.87,0.78,0.75,0.75,0.64,0.64
2018,71903,Fundo Social,28,Encargos Especiais,6.64,6.64,6.64,0,0,0
2018,71904,Fundo de Estabilidade do Seguro Rural,04,Administração,0.05,0.05,0.05,0.04,0.04,0.04
2018,71904,Fundo de Estabilidade do Seguro Rural,99,Reserva de Contingência,0.27,0.27,0.27,0,0,0
2018,71905,Fundo de Garantia à Exportação,04,Administração,0.08,0.08,2.01,2.01,1.36,1.36
2018,71905,Fundo de Garantia à Exportação,28,Encargos Especiais,0.05,0.05,0.01,0.01,0.01,0.01
2018,71905,Fundo de Garantia à Exportação,99,Reserva de Contingência,2.31,2.31,2.31,0,0,0
2018,71906,Fundo Especial de Financiamento de Campanhas,28,Encargos Especiais,0,1.72,1.72,1.72,1.72,1.72
2018,73000,"Transferências a Estados, Distrito Federal e Municípios",28,Encargos Especiais,28.04,28.04,38,37.08,35.97,35.97
2018,73101,Recursos sob Supervisão do Ministério da Fazenda,28,Encargos Especiais,1.56,1.58,1.58,1.57,1.53,1.53
2018,73107,Recursos sob Supervisão do Ministério da Educação,28,Encargos Especiais,12.95,13.01,13.01,13.01,11.78,11.78
2018,73108,Transferências Constitucionais,28,Encargos Especiais,194.37,195,199.53,198.64,193.12,193.12
2018,73113,Recursos sob Supervisão do Ministério da Gestão e Inovação em Serviços Públicos,04,Administração,3.39,3.39,2.76,2.64,2.64,2.45
2018,73113,Recursos sob Supervisão do Ministério da Gestão e Inovação em Serviços Públicos,09,Previdência Social,2.51,2.51,2.61,2.59,2.59,2.41
2018,73113,Recursos sob Supervisão do Ministério da Gestão e Inovação em Serviços Públicos,28,Encargos Especiais,0.1,0.1,0.2,0.2,0.09,0.09
2018,73901,Fundo Constitucional do Distrito Federal,04,Administração,0.69,0.69,0.63,0.63,0.63,0.63
2018,73901,Fundo Constitucional do Distrito Federal,09,Previdência Social,1.26,1.26,1.38,1.38,1.37,1.37
2018,73901,Fundo Constitucional do Distrito Federal,28,Encargos Especiais,11.75,11.75,11.68,11.68,11.46,11.44
2018,74101,Recursos sob Supervisão da Secretaria do Tesouro Nacional,08,Assistência Social,0.01,0.01,0.01,0.01,0,0
2018,74101,Recursos sob Supervisão da Secretaria do Tesouro Nacional,11,Trabalho,0,0,0.01,0.01,0.01,0.01
2018,74101,Recursos sob Supervisão da Secretaria do Tesouro Nacional,20,Agricultura,15.24,13.75,10.1,8.37,4.71,4.71
2018,74101,Recursos sob Supervisão da Secretaria do Tesouro Nacional,22,Indústria,0.01,0.01,0.01,0.01,0,0
2018,74101,Recursos sob Supervisão da Secretaria do Tesouro Nacional,23,Comércio e Serviços,3.78,3.61,3.03,3.03,2.16,2.16
2018,74101,Recursos sob Supervisão da Secretaria do Tesouro Nacional,25,Energia,0.03,0.02,0.02,0.02,0.01,0.01
2018,74101,Recursos sob Supervisão da Secretaria do Tesouro Nacional,28,Encargos Especiais,0.43,0.43,0.64,0.26,0.01,0.01
2018,74102,Recursos sob Supervisão do Ministério da Fazenda,04,Administração,0.1,0.1,0.1,0.05,0.04,0.04
2018,74201,Recursos sob Supervisão da Superintendência de Seguros Privados/SUSEP,04,Administração,0,0,0,0,0,0
2018,74202,Recursos sob Supervisão da Agência Nacional de Saúde Suplementar/ANS,10,Saúde,0.01,0.01,0.01,0,0,0
2018,74203,Recursos sob Supervisão do Instituto Nacional de Colonização e Reforma Agrária/INCRA-MDA,21,Organização Agrária,0.27,0.27,0.27,0.27,0.02,0.02
2018,74204,Recursos sob Supervisão da Caixa de Construções de Casas para o Pessoal da Marinha,05,Defesa Nacional,0.23,0.23,0.23,0.23,0.19,0.19
2018,74205,Recursos sob Supervisão da Caixa de Financiamento Imobiliário da Aeronáutica,05,Defesa Nacional,0,0,0,0,0,0
2018,74901,Recursos sob Supervisão do Fundo de Defesa da Economia Cafeeira/Funcafé,20,Agricultura,5.46,5.46,5.46,5.08,4.13,4.13
2018,74902,Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES,12,Educação,19.4,19.35,19.05,18.69,12.41,12.41
2018,74904,Recursos sob Supervisão do Fundo da Marinha Mercante/FMM,26,Transporte,3.78,3.78,3.78,3.33,3.33,3.33
2018,74905,Recursos sob Sup. do Fundo p/ Desenv.Tecnol. das Telecomunic./FUNTTEL-M. Comunicações,24,Comunicações,0.19,0.19,0.19,0.19,0.19,0.19
2018,74906,Recursos sob Supervisão do Fundo de Terras e da Reforma Agrária/Banco da Terra,21,Organização Agrária,0.3,0.3,0.3,0.26,0.26,0.26
2018,74908,Recursos sob Supervisão do Fundo Geral de Turismo/FUNGETUR,23,Comércio e Serviços,0.04,0.04,0.29,0.29,0.21,0.21
2018,74910,"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.",19,Ciência e Tecnologia,1.14,1.14,1.14,1.1,1.1,1.1
2018,74912,Recursos sob Supervisão do Fundo Nacional de Cultura,13,Cultura,0.13,0.13,0.13,0.1,0,0
2018,74913,Recursos sob Supervisão do Fundo Constitucional de Financiamento do Norte/FNO,28,Encargos Especiais,2.42,2.43,2.47,2.47,2.41,2.41
2018,74914,Recursos sob Supervisão do Fundo Constitucional de Financiamento do Centro-Oeste/FCO,28,Encargos Especiais,2.42,2.43,2.47,2.47,2.41,2.41
2018,74915,Recursos sob Supervisão do Fundo Constitucional de Financiamento do Nordeste/FNE,28,Encargos Especiais,7.26,7.29,7.42,7.42,7.22,7.22
2018,74916,Recursos sob Supervisão do Fundo Nacional sobre Mudança do Clima/FNMC,18,Gestão Ambiental,0.2,0.2,0.39,0.39,0.39,0.39
2018,74917,Recursos sob Supervisão do Fundo de Desenvolvimento da Amazônia/FDA,28,Encargos Especiais,0.42,0.42,0.42,0.35,0,0
2018,74918,Recursos sob Supervisão do Fundo de Desenvolvimento do Nordeste/FDNE,28,Encargos Especiais,0.44,0.44,0.44,0.17,0,0
